Time,Symbol,Type,Price,SL,TP,Lots,Profit,Comment,Status
2026-04-21 10:43:13,XAUUSD,BUY,4791.7,0,0,0.01,-5.5,Stop Loss 🛑,CLOSED
2026-04-21 10:43:13,XAUUSD,BUY,4791.7,0,0,0.01,-5.69,Stop Loss 🛑,CLOSED
2026-04-21 10:43:13,XAUUSD,BUY,4791.71,0,0,0.01,-5.95,Stop Loss 🛑,CLOSED
2026-04-21 10:43:13,XAUUSD,BUY,4791.71,0,0,0.01,-6.09,Stop Loss 🛑,CLOSED
2026-04-21 10:47:59,XAUUSD,BUY,4790.79,4785.09,4798.97,0.01,0,ENTRY,OPEN
2026-04-21 10:48:01,XAUUSD,BUY,4791.02,4785.08,4799.56,0.01,0,ENTRY,OPEN
2026-04-21 10:48:03,XAUUSD,BUY,4790.84,4785.08,4799.11,0.01,0,ENTRY,OPEN
2026-04-21 10:48:05,XAUUSD,BUY,4790.77,4785.08,4798.93,0.01,0,ENTRY,OPEN
2026-04-21 10:48:06,XAUUSD,BUY,4791.01,4785.08,4799.53,0.01,0,ENTRY,OPEN
2026-04-21 11:01:00,XAUUSD,SELL,4784.86,0,0,0.01,-5.97,Stop Loss 🛑,CLOSED
2026-04-21 11:01:00,XAUUSD,SELL,4784.86,0,0,0.01,-6.16,Stop Loss 🛑,CLOSED
2026-04-21 11:01:00,XAUUSD,SELL,4784.86,0,0,0.01,-5.98,Stop Loss 🛑,CLOSED
2026-04-21 11:01:00,XAUUSD,SELL,4784.86,0,0,0.01,-5.95,Stop Loss 🛑,CLOSED
2026-04-21 11:01:00,XAUUSD,SELL,4784.86,0,0,0.01,-6.15,Stop Loss 🛑,CLOSED
2026-04-21 11:02:39,XAUUSD,BUY,4785.8,4782.12,4790.94,0.01,0,ENTRY,OPEN
2026-04-21 11:02:42,XAUUSD,BUY,4785.83,4782.12,4791.02,0.01,0,ENTRY,OPEN
2026-04-21 11:02:43,XAUUSD,BUY,4785.68,4782.11,4790.67,0.01,0,ENTRY,OPEN
2026-04-21 11:02:45,XAUUSD,BUY,4785.73,4782.11,4790.79,0.01,0,ENTRY,OPEN
2026-04-21 11:02:47,XAUUSD,BUY,4785.78,4782.11,4790.92,0.01,0,ENTRY,OPEN
2026-04-21 11:03:45,XAUUSD,SELL,4782.09,0,0,0.01,-3.71,Stop Loss 🛑,CLOSED
2026-04-21 11:03:45,XAUUSD,SELL,4782.09,0,0,0.01,-3.74,Stop Loss 🛑,CLOSED
2026-04-21 11:03:45,XAUUSD,SELL,4782.09,0,0,0.01,-3.59,Stop Loss 🛑,CLOSED
2026-04-21 11:03:45,XAUUSD,SELL,4782.09,0,0,0.01,-3.72,Stop Loss 🛑,CLOSED
2026-04-21 11:03:45,XAUUSD,SELL,4782.09,0,0,0.01,-3.69,Stop Loss 🛑,CLOSED
2026-04-21 11:04:45,XAUUSD,BUY,4784.24,4779.44,4791.06,0.01,0,ENTRY,OPEN
2026-04-21 11:04:47,XAUUSD,BUY,4784.92,4779.39,4792.85,0.01,0,ENTRY,OPEN
2026-04-21 11:04:48,XAUUSD,BUY,4785.15,4779.37,4793.45,0.01,0,ENTRY,OPEN
2026-04-21 11:04:50,XAUUSD,BUY,4785.14,4779.37,4793.42,0.01,0,ENTRY,OPEN
2026-04-21 11:04:52,XAUUSD,BUY,4785.49,4779.34,4794.34,0.01,0,ENTRY,OPEN
2026-04-21 13:09:34,Volatility 25 Index,BUY,3179.285,3175.103,3184.978,0.5,0,ENTRY,OPEN
2026-04-21 13:09:32,XAUUSD,SELL,4778.37,0,0,0.01,-5.88,Stop Loss 🛑,CLOSED
2026-04-21 13:09:32,XAUUSD,SELL,4778.37,0,0,0.01,-5.88,Stop Loss 🛑,CLOSED
2026-04-21 13:09:32,XAUUSD,SELL,4778.37,0,0,0.01,-6.55,Stop Loss 🛑,CLOSED
2026-04-21 13:09:32,XAUUSD,SELL,4778.37,0,0,0.01,-6.78,Stop Loss 🛑,CLOSED
2026-04-21 13:09:32,XAUUSD,SELL,4778.37,0,0,0.01,-6.77,Stop Loss 🛑,CLOSED
2026-04-21 13:09:32,XAUUSD,SELL,4778.37,0,0,0.01,-7.12,Stop Loss 🛑,CLOSED
